Claim,Source,Node,Edge,Label
The 28th is the day when the series finale of Larry the Cable Guy aired.,wiki,which,Bill Engvall,included
"Tom Morello, Zack de la Rocha, and Brad Wilk co-founded Rage.",wiki,Cornell,Audioslave,formed
"Tom Morello, Zack de la Rocha, and Brad Wilk co-founded Rage.",response,They,Brad Wilk,recruited
"Tom Morello, Zack de la Rocha, and Brad Wilk co-founded Rage.",response,He,RATM,joined
"Tom Morello, Zack de la Rocha, and Brad Wilk co-founded Rage.",response,He,RATM,joined
Brad Wilk was a musician for Greta.,wiki,Cornell,Audioslave,formed
Brad Wilk was a member of Greta in 1990.,wiki,Cornell,Audioslave,formed
Brad Wilk was a drummer for a band.,wiki,Cornell,Audioslave,formed
Brad Wilk was a drummer for a band.,response,he,16,was
Brad Wilk was a drummer for a band.,response,Cornell,Wilk,approached
"In August 1991, Brad Wilk co-founded Rage.",wiki,Cornell,Audioslave,formed
Brad Wilk was a drummer for a hard rock band.,wiki,Cornell,Audioslave,formed
Brad Wilk co-founded Rage in the 20th century.,wiki,Cornell,Audioslave,formed
Brad Wilk co-founded Rage in the 20th century.,response,Rage,Manni Schmidt,is
Brad Wilk was a drummer for Greta.,wiki,Cornell,Audioslave,formed
The Indian Institute of Management Bangalore offers a business executive training program.,response,programs,Advanced Management Program,include
The Indian Institute of Management Bangalore offers a business executive training program.,response,that,Advanced Management Program,covers
The Indian Institute of Management Bangalore offers a business executive training program.,response,which,at least 10 years,covers
The Indian Institute of Management Bangalore offers a business executive training program.,response,programs,Advanced Management Program,include
The Indian Institute of Management Bangalore offers a two year post graduate program.,response,who,the Doctoral Program,meet
The Indian Institute of Management Bangalore offers a two year post graduate program.,response,who,the Executive Postgraduate Program,meet
The Indian Institute of Management Bangalore offers an executive training program.,response,One,the Postgraduate Programme in Management for Executives,is
The Indian Institute of Management Bangalore offers an executive training program.,response,which,the Postgraduate Programme in Management for Executives,is
Lookout Records helped release Kerplunk.,response,band,Kerplunk,released
An American punk rock band made Kerplunk.,response,Style,Green Day,saw
An American punk rock band made Kerplunk.,response,tracks,Burnout,include
Mary-Kate Olsen and Ashley Olsen are also known as the Olsen twins.,response,Conclusion,two,are
The dress inspired hashtags.,response,Hashtags,Hashtags Became,Became
The dress was investigated by people.,response,I,AI,'m
Bad Romance was successful.,wiki,they,Bad Romance '',declared
Bad Romance was successful.,wiki,they,Bad Romance '',declared
Bad Romance was successful.,wiki,video,Gaga,features
Bad Romance was successful.,wiki,singer,MTV Video Music Awards,won
Bad Romance was successful.,wiki,singer,seven,won
Bad Romance was successful.,wiki,Gaga,Bad Romance '',performed
Bad Romance was successful.,response,It,number one,reached
Bad Romance was successful.,response,video,Gaga,features
Bad Romance was successful.,response,video,the MTV Video Music Award,won
Bad Romance was released as a single.,wiki,they,Bad Romance '',declared
Bad Romance was released as a single.,wiki,they,Bad Romance '',declared
Bad Romance was released as a single.,wiki,video,Gaga,features
Bad Romance was released as a single.,wiki,singer,MTV Video Music Awards,won
Bad Romance was released as a single.,wiki,singer,seven,won
Bad Romance was released as a single.,wiki,Gaga,Bad Romance '',performed
Bad Romance was released as a single.,response,video,Gaga,features
Bad Romance was released as a single.,response,who,Francis Lawrence,directed
Bad Romance was profitable around the world.,wiki,they,Bad Romance '',declared
Bad Romance was profitable around the world.,wiki,they,Bad Romance '',declared
Bad Romance was profitable around the world.,wiki,video,Gaga,features
Bad Romance was profitable around the world.,wiki,singer,MTV Video Music Awards,won
Bad Romance was profitable around the world.,wiki,singer,seven,won
Bad Romance was profitable around the world.,wiki,Gaga,Bad Romance '',performed
Bad Romance was profitable around the world.,response,song,number one,reached
12 million copies of Bad Romance were bought around the world.,wiki,they,Bad Romance '',declared
12 million copies of Bad Romance were bought around the world.,wiki,they,Bad Romance '',declared
12 million copies of Bad Romance were bought around the world.,wiki,video,Gaga,features
12 million copies of Bad Romance were bought around the world.,wiki,singer,MTV Video Music Awards,won
12 million copies of Bad Romance were bought around the world.,wiki,singer,seven,won
12 million copies of Bad Romance were bought around the world.,wiki,Gaga,Bad Romance '',performed
12 million copies of Bad Romance were bought around the world.,response,it,Australia,sold
12 million copies of Bad Romance were bought around the world.,response,it,Canada,sold
12 million copies of Bad Romance were bought around the world.,response,it,Germany,sold
12 million copies of Bad Romance were bought around the world.,response,song,number one,reached
Bad Romance sold 12 million copies worldwide.,wiki,they,Bad Romance '',declared
Bad Romance sold 12 million copies worldwide.,wiki,they,Bad Romance '',declared
Bad Romance sold 12 million copies worldwide.,wiki,video,Gaga,features
Bad Romance sold 12 million copies worldwide.,wiki,singer,MTV Video Music Awards,won
Bad Romance sold 12 million copies worldwide.,wiki,singer,seven,won
Bad Romance sold 12 million copies worldwide.,wiki,Gaga,Bad Romance '',performed
Bad Romance achieved worldwide success.,wiki,they,Bad Romance '',declared
Bad Romance achieved worldwide success.,wiki,they,Bad Romance '',declared
Bad Romance achieved worldwide success.,wiki,video,Gaga,features
Bad Romance achieved worldwide success.,wiki,singer,MTV Video Music Awards,won
Bad Romance achieved worldwide success.,wiki,singer,seven,won
Bad Romance achieved worldwide success.,wiki,Gaga,Bad Romance '',performed
Bad Romance achieved worldwide success.,response,It,number one,reached
Bad Romance sold 12 million copies.,wiki,they,Bad Romance '',declared
Bad Romance sold 12 million copies.,wiki,they,Bad Romance '',declared
Bad Romance sold 12 million copies.,wiki,video,Gaga,features
Bad Romance sold 12 million copies.,wiki,singer,MTV Video Music Awards,won
Bad Romance sold 12 million copies.,wiki,singer,seven,won
Bad Romance sold 12 million copies.,wiki,Gaga,Bad Romance '',performed
Bad Romance sold 12 million copies.,response,I,AI,'m
Connie Nielsen is an actress.,wiki,films,Mission to Mars -LRB- 2000,include
Connie Nielsen played the role of Meredith Kane in Boss.,wiki,films,Mission to Mars -LRB- 2000,include
Connie Nielsen is a film actress.,wiki,films,Mission to Mars -LRB- 2000,include
Connie Nielsen is a film actress.,response,Bond,Natalya Simonova,thwart
Connie Nielsen played the role of Meredith Kane.,wiki,films,Mission to Mars -LRB- 2000,include
Connie Nielsen acts on TV.,wiki,films,Mission to Mars -LRB- 2000,include
Connie Nielsen acts on TV.,response,I,2018,Dying
Connie Nielsen acted in a Fox American television series.,wiki,films,Mission to Mars -LRB- 2000,include
Capsicum chinense is a species.,response,which,Americas,dates
Capsicum chinense is a species.,response,which,thousands of years,dates
Capsicum chinense is a species of chili pepper.,response,which,Capsicum,contains
Capsicum chinense is a member of a family.,response,which,Capsicum,includes
Capsicum chinense is a member of a family.,response,which,Physalis,includes
"Capsicum chinense is a flowering member of the nightshade family, Solanaceae.",response,peppers,2-5 cm,are
Game of Thrones (season 7) involves Tom Hopper.,wiki,HBO,the seventh season,ordered
Jim Broadbent is involved with Game of Thrones (season 7).,wiki,HBO,the seventh season,ordered
Game of Thrones (season 7) will introduce several new cast members.,wiki,HBO,the seventh season,ordered
Game of Thrones (season 7) will introduce several new cast members.,response,These,1,include
Game of Thrones (season 7) will introduce several new cast members.,response,actor,Dickon Tarly,play
Game of Thrones (season 7) will introduce several new cast members.,response,Clemmett,Petyr Baelish,play
Game of Thrones (season 7) will introduce several new cast members.,response,That,The Play That Goes Wrong,Goes
Game of Thrones (season 7) will introduce several new cast members like Jim Broadbent and Tom Hopper.,wiki,HBO,the seventh season,ordered
Game of Thrones (season 7) will introduce several new cast members like Jim Broadbent and Tom Hopper.,response,which,Season 7 of Game of Thrones,sparked
Game of Thrones (season 7) will introduce several new cast members like Jim Broadbent and Tom Hopper.,response,filming,Ireland,taking
Michaela Watkins is a woman who acts.,response,that,"""The Awesomes",brought
Tylenol is one of the brands of drugs.,response,that,Johnson & Johnson,markets
Tylenol is advertised for reducing pain.,response,it,NSAID,is
Tylenol is advertised for reducing pain.,response,that,"Tylenol, Johnson & Johnson",produces
Renato Balestra came from an engineering family.,wiki,fashion,Renato Balestra,chose
Renato Balestra came from an engineering family.,wiki,shop,Via Sistina,had
Renato Balestra came from an engineering family.,wiki,Balestra,Cinderella,designed
Renato Balestra came from an engineering family.,wiki,City,Renato Balestra,invites
Renato Balestra came from an architect family.,wiki,fashion,Renato Balestra,chose
Renato Balestra came from an architect family.,wiki,shop,Via Sistina,had
Renato Balestra came from an architect family.,wiki,Balestra,Cinderella,designed
Renato Balestra came from an architect family.,wiki,City,Renato Balestra,invites
Renato Balestra came from a family.,wiki,fashion,Renato Balestra,chose
Renato Balestra came from a family.,wiki,shop,Via Sistina,had
Renato Balestra came from a family.,wiki,Balestra,Cinderella,designed
Renato Balestra came from a family.,wiki,City,Renato Balestra,invites
Renato Balestra studied for a degree in engineering.,wiki,fashion,Renato Balestra,chose
Renato Balestra studied for a degree in engineering.,wiki,shop,Via Sistina,had
Renato Balestra studied for a degree in engineering.,wiki,Balestra,Cinderella,designed
Renato Balestra studied for a degree in engineering.,wiki,City,Renato Balestra,invites
First Motion Picture Unit produced films.,wiki,Films,Resisting Enemy Interrogation,include
Entertaining films were produced by First Motion Picture Unit.,wiki,Films,Resisting Enemy Interrogation,include
Training films were produced by First Motion Picture Unit.,wiki,Films,Resisting Enemy Interrogation,include
Training films were produced by First Motion Picture Unit.,response,films,The Negro Soldier,included
Training films were produced by First Motion Picture Unit.,response,which,The Negro Soldier,explored
Training films were produced by First Motion Picture Unit.,response,which,The Negro Soldier,documented
Training films were produced by First Motion Picture Unit.,response,which,the Battle of San Pietro Infine,documented
Matthew Gray Gubler is a performer.,response,it,"""Criminal Minds",was
Matthew Gray Gubler is a performer.,response,that,"""Criminal Minds",brought
Matthew Gray Gubler is an artist.,response,he,Spencer Reid,starred
Matthew Gray Gubler is an artist.,response,he,Criminal Minds,starred
Matthew Gray Gubler is a model.,response,I,AI,'m
"The Hanford Site hosts the Columbia Generating Station, ten miles north of Richland, Washington.",wiki,site,two-thirds,represented
"The Hanford Site hosts the Columbia Generating Station, ten miles north of Richland, Washington.",response,statement,the Columbia Generating Station,hosts
"The Hanford Site hosts the Columbia Generating Station, ten miles north of Richland, Washington.",response,statement,the Columbia Generating Station,hosts
The Hanford Site contributes to the LIGO Hanford Observatory.,wiki,site,two-thirds,represented
The Hanford Site contributes to the LIGO Hanford Observatory.,response,which,Hanford Observatory,is
The Hanford Site contributes to the LIGO Hanford Observatory.,response,that,Hanford Observatory,operates
The Hanford Site contributes to the LIGO Hanford Observatory.,response,that,Interferometer Gravitational-Wave Observatory,operates
The Hanford Site contributes to the LIGO Hanford Observatory.,response,Observatory,one,is
"The Hanford Site hosts the LIGO Hanford Observatory, which detects gravitational waves.",wiki,site,two-thirds,represented
"The Hanford Site hosts the LIGO Hanford Observatory, which detects gravitational waves.",response,Site,Hanford Observatory,hosts
"The Hanford Site hosts the LIGO Hanford Observatory, which detects gravitational waves.",response,which,Hanford Observatory,detects
"The Hanford Site hosts the LIGO Hanford Observatory, which detects gravitational waves.",response,Site,Hanford Observatory,hosts
"The Hanford Site hosts the LIGO Hanford Observatory, which detects gravitational waves.",response,which,Hanford Observatory,is
"The Hanford Site hosts the Pacific Northwest National Laboratory, managed by the Department of Energy's Office of Science.",wiki,site,two-thirds,represented
"The Hanford Site hosts the Pacific Northwest National Laboratory, managed by the Department of Energy's Office of Science.",response,site,586 square miles,occupied
"The Hanford Site hosts the Pacific Northwest National Laboratory, managed by the Department of Energy's Office of Science.",response,Site,the Pacific Northwest National Laboratory,host
"The Hanford Site hosts the Pacific Northwest National Laboratory, managed by the Department of Energy's Office of Science.",response,Department,the Hanford Site,manage
The Hanford Site hosts a commercial nuclear power plant.,wiki,site,two-thirds,represented
The Hanford Site hosts a laboratory.,wiki,site,two-thirds,represented
The Hanford Site hosts a laboratory.,response,Some,1,include
The Hanford Site hosts a laboratory.,response,PNNL,one,is
The Hanford Site hosts a laboratory.,response,that,DOE,have
The Hanford Site hosts a laboratory.,response,that,the Manhattan Project,produced
The Hanford Site is the host of the Pacific Northwest National Laboratory.,wiki,site,two-thirds,represented
The Hanford Site is the host of the Pacific Northwest National Laboratory.,response,that,the Manhattan Project,produced
The Hanford Site is the host of the Pacific Northwest National Laboratory.,response,which,the Pacific Northwest National Laboratory,is
The Hanford Site is the host of the Pacific Northwest National Laboratory.,response,PNNL,one,is
Justin Chatwin is an actor.,wiki,he,The Return of Doctor,played
Justin Chatwin is an actor.,response,I,AI,'m
Justin Chatwin performed in the BBC UK series Doctor Who.,wiki,he,The Return of Doctor,played
Justin Chatwin performed in the CBS series American Gothic.,wiki,he,The Return of Doctor,played
Justin Chatwin performs as an actor.,wiki,he,The Return of Doctor,played
Justin Chatwin starred in Doctor Who.,wiki,he,The Return of Doctor,played
Justin Chatwin starred in Doctor Who.,response,Doctor,Chatwin,list
Justin Chatwin is a Canadian actor.,wiki,he,The Return of Doctor,played
"In 2015, Gordan Ramsay was ranked the 21st highest earning celebrity in the world.",response,he,the Gordon Ramsay Foundation,founded
"In 2015, Gordan Ramsay was ranked the 21st highest earning celebrity in the world.",response,which,the Gordon Ramsay Foundation,supports
Gordon Ramsay has employed cooks.,response,he,the Gordon Ramsay Foundation,launched
Gordon Ramsay has employed cooks.,response,that,the Gordon Ramsay Foundation,provides
Gordon Ramsay has had apprentices.,response,example,Ben,is
Gordon Ramsay has had apprentices.,response,which,the Académie Culinaire de France,recognizes
Always stars an actor from Jaws.,response,he,The Right Stuff,continued
Always features a British actress.,response,film,Richard E. Grant,stars
Always features Audrey Hepburn.,response,who,Hepburn,remains
Yale University has had many notable alumni.,wiki,Yale,hundreds,graduated
Yale University's alumni includes five U.S. Presidents.,wiki,Yale,hundreds,graduated
Yale University's alumni includes five U.S. Presidents.,response,presidents,Yale,attended
Yale University's alumni includes five U.S. Presidents.,response,Obama,Yale Law School,attended
Yale University's alumni includes five U.S. Presidents.,response,he,Harvard Law School,earned
Yale University's alumni includes five U.S. Presidents.,response,he,Harvard Law School,earned
Yale University's alumni includes five U.S. Presidents.,response,Biden,Yale College,attended
Yale University's alumni includes 19 justices.,wiki,Yale,hundreds,graduated
Yale University has had many alumni who were notable.,wiki,Yale,hundreds,graduated
Yale University's alumni consists of 20 living billionaires.,wiki,Yale,hundreds,graduated
Yale University's alumni consists of 20 living billionaires.,response,alumni,1,include
Yale University's alumni includes five notable people.,wiki,Yale,hundreds,graduated
Yale University's alumni includes five notable people.,response,She,Academy Awards,won
Yale University's alumni includes five billionaires.,wiki,Yale,hundreds,graduated
Yale University's alumni includes five billionaires.,response,individuals,1,are
Yale University's alumni includes many presidents.,wiki,Yale,hundreds,graduated
Yale University's alumni includes many presidents.,response,he,Yale,attend
Yale University's alumni includes many presidents.,response,mother,the University of Hawaii,attended
Yale University's alumni includes many presidents.,response,which,the University of Hawaii,is
Yale University's alumni includes many presidents.,response,which,Manoa,is
Stan Beeman is fictional.,wiki,who,Matthew Rhys -RRB-,are
Stan Beeman is in a show on FX.,wiki,who,Matthew Rhys -RRB-,are
Stan Beeman is in a show.,wiki,who,Matthew Rhys -RRB-,are
Stan Beeman is in The Americans.,wiki,who,Matthew Rhys -RRB-,are
Stan Beeman is a fictional character in The Americans.,wiki,who,Matthew Rhys -RRB-,are
Stan Beeman is a fictional character in The Americans.,response,Jennings,American,are
Lizzy Caplan starred in television show.,response,I,AI,'m
Party Down is a show that Lizzy Caplan starred in.,response,which,Adam Scott,included
Party Down is a show that Lizzy Caplan starred in.,response,that,Lizzy Caplan,featured
Lizzy Caplan starred in television show like The Class.,response,that,Lizzy Caplan,features
The Washington Wizards were the winners of four conference titles.,wiki,Bellamy,the Rookie of the Year award,won
The Washington Wizards were the winners of four conference titles.,response,team,the Washington Wizards,won
The Washington Wizards have won four conference titles.,wiki,Bellamy,the Rookie of the Year award,won
The Washington Wizards won a title in 1975.,wiki,Bellamy,the Rookie of the Year award,won
The Washington Wizards won a title in 1975.,response,players,Wes Unseld,include
The Washington Wizards have won four conference titles beginning in 1971.,wiki,Bellamy,the Rookie of the Year award,won
"In 2017, the Washington Wizards were the winners of a division title.",wiki,Bellamy,the Rookie of the Year award,won
The Washington Wizards have been the winners of seven division titles.,wiki,Bellamy,the Rookie of the Year award,won
The Washington Wizards have been the winners of seven division titles.,response,I,AI,'m
Saxony is a German state.,wiki,capital,Dresden,is
Saxony is a German state.,wiki,city,Leipzig,is
Saxony is a German state.,response,It,Brandenburg,borders
Saxony is a German state.,response,capital,Dresden,is
Saxony is a German state.,response,which,the Free State of,became
Saxony is a German state.,response,which,Saxony,became
Saxony is a German state.,response,cities,Leipzig,include
The sixth most populous German state is Saxony.,wiki,capital,Dresden,is
The sixth most populous German state is Saxony.,wiki,city,Leipzig,is
The sixth most populous German state is Saxony.,response,population,"4,123,711",was
The sixth most populous German state is Saxony.,response,This,about 5%,represents
The sixth most populous German state is Saxony.,response,capital,Dresden,is
The sixth most populous German state is Saxony.,response,cities,Leipzig,include
"As of 2003, Saxony is the sixth most populous German state.",wiki,capital,Dresden,is
"As of 2003, Saxony is the sixth most populous German state.",wiki,city,Leipzig,is
"As of 2003, Saxony is the sixth most populous German state.",response,population,"4,314,897",was
"As of 2003, Saxony is the sixth most populous German state.",response,This,about 5.5%,represents
"As of 2003, Saxony is the sixth most populous German state.",response,capital,Dresden,is
"As of 2003, Saxony is the sixth most populous German state.",response,which,Dresden,is
"As of 2003, Saxony is the sixth most populous German state.",response,it,the early Middle Ages,was
"As of 2003, Saxony is the sixth most populous German state.",response,Saxony,one,is
"Founded in 1994, Gray Matter Interactive Studios, Inc. was a computer game developer.",response,Matter,Gray Matter Closes Its Doors,Closes
"Gray Matter Interactive Studios, Inc. was acquired by Activision in January 2002.",response,which,Activision,is
Anne Rice was born in the southern United States.,wiki,-LRB-,Howard Allen Frances O'Brien,born
Anne Rice was born in the southern United States.,wiki,who,Christopher,is
Anne Rice was born in the southern United States.,wiki,which,Servant,formed
Anne Rice was born in the southern United States.,response,that,the Confederate States of America,made
Anne Rice was born in the United States of America.,wiki,-LRB-,Howard Allen Frances O'Brien,born
Anne Rice was born in the United States of America.,wiki,who,Christopher,is
Anne Rice was born in the United States of America.,wiki,which,Servant,formed
Anne Rice was born in the United States of America.,response,which,Alice,is
Anne Rice lived in San Fransisco.,wiki,-LRB-,Howard Allen Frances O'Brien,born
Anne Rice lived in San Fransisco.,wiki,who,Christopher,is
Anne Rice lived in San Fransisco.,wiki,which,Servant,formed
New Orleans is the birthplace of Anne Rice.,wiki,-LRB-,Howard Allen Frances O'Brien,born
New Orleans is the birthplace of Anne Rice.,wiki,who,Christopher,is
New Orleans is the birthplace of Anne Rice.,wiki,which,Servant,formed
New Orleans is the birthplace of Anne Rice.,response,she,New Orleans,was
New Orleans is the birthplace of Anne Rice.,response,she,the Anne Rice Foundation,founded
Anne Rice lived in the twenty first century.,wiki,-LRB-,Howard Allen Frances O'Brien,born
Anne Rice lived in the twenty first century.,wiki,who,Christopher,is
Anne Rice lived in the twenty first century.,wiki,which,Servant,formed
Anne Rice lived in the twenty first century.,response,I,I Am the Cheese,Am
Anne Rice resided in Texas.,wiki,-LRB-,Howard Allen Frances O'Brien,born
Anne Rice resided in Texas.,wiki,who,Christopher,is
Anne Rice resided in Texas.,wiki,which,Servant,formed
Anne Rice lived in the US.,wiki,-LRB-,Howard Allen Frances O'Brien,born
Anne Rice lived in the US.,wiki,who,Christopher,is
Anne Rice lived in the US.,wiki,which,Servant,formed
Anne Rice lived in the US.,response,she,San Francisco,began
The Indian Army is Indian.,wiki,which,the East India Company,became
The Indian Army is Indian.,wiki,which,the British Indian Army,became
The Indian Army is Indian.,wiki,operations,Operation Vijay,include
The Indian Army is Indian.,response,army,Role,has
The Indian Army is Indian.,response,statement,Indian,is
The Indian Army is composed of more than 80% of India's currently employed members of the armed forces.,wiki,which,the East India Company,became
The Indian Army is composed of more than 80% of India's currently employed members of the armed forces.,wiki,which,the British Indian Army,became
The Indian Army is composed of more than 80% of India's currently employed members of the armed forces.,wiki,operations,Operation Vijay,include
The Indian Army is composed of more than 80% of India's currently employed members of the armed forces.,response,it,more than 80%,comprises
The Indian Army comprises more than 70% of the country's active defense personnel.,wiki,which,the East India Company,became
The Indian Army comprises more than 70% of the country's active defense personnel.,wiki,which,the British Indian Army,became
The Indian Army comprises more than 70% of the country's active defense personnel.,wiki,operations,Operation Vijay,include
The Indian Army comprises more than 70% of the country's active defense personnel.,response,Army,more than 70%,comprises
The Indian Army comprises more than 70% of the country's active defense personnel.,response,branches,the Indian Army,are
The Indian Army comprises more than 70% of the country's active defense personnel.,response,Army,approximately 70%,comprises
The Indian Army comprises more than 70% of the country's active defense personnel.,response,statement,more than 70%,comprises
The Indian Army is an armed force.,wiki,which,the East India Company,became
The Indian Army is an armed force.,wiki,which,the British Indian Army,became
The Indian Army is an armed force.,wiki,operations,Operation Vijay,include
The Indian Army is an armed force.,response,These,1,include
The Indian Army is an armed force.,response,which,The Indian Constitution,grants
The Indian Army is an armed force.,response,which,The National Security Act,provides
The Indian Army is an armed force.,response,which,the Defence Budget,provide
The Indian Army comprises a lot of people.,wiki,which,the East India Company,became
The Indian Army comprises a lot of people.,wiki,which,the British Indian Army,became
The Indian Army comprises a lot of people.,wiki,operations,Operation Vijay,include
The Indian Army is a military force.,wiki,which,the East India Company,became
The Indian Army is a military force.,wiki,which,the British Indian Army,became
The Indian Army is a military force.,wiki,operations,Operation Vijay,include
The Indian Army is a military force.,response,that,Wikipedia,confirms
The Indian Army is an armed force which derives its strength from volunteers instead of conscription.,wiki,which,the East India Company,became
The Indian Army is an armed force which derives its strength from volunteers instead of conscription.,wiki,which,the British Indian Army,became
The Indian Army is an armed force which derives its strength from volunteers instead of conscription.,wiki,operations,Operation Vijay,include
The Indian Army is an armed force which derives its strength from volunteers instead of conscription.,response,Spirit,de corps,contributed
The Indian Army comprises part of the country's active defense personnel.,wiki,which,the East India Company,became
The Indian Army comprises part of the country's active defense personnel.,wiki,which,the British Indian Army,became
The Indian Army comprises part of the country's active defense personnel.,wiki,operations,Operation Vijay,include
The Indian Army comprises part of the country's active defense personnel.,response,India,1947,gained
The Indian Army derives its manpower from volunteers.,wiki,which,the East India Company,became
The Indian Army derives its manpower from volunteers.,wiki,which,the British Indian Army,became
The Indian Army derives its manpower from volunteers.,wiki,operations,Operation Vijay,include
The Indian Army derives its manpower from volunteers.,response,government,"the ""National Service""",call
St. Anger is the eighth studio album by Metallica.,wiki,Metallica,the next couple of years,spent
St. Anger is the eighth studio album by Metallica.,wiki,Anger,a Grammy Award,won
St. Anger is the eighth studio album by Metallica.,response,who,first,joined
St. Anger is the eighth studio album by Metallica.,response,who,Robert Trujillo,joined
St. Anger is the eighth studio album by an American heavy metal band.,wiki,Metallica,the next couple of years,spent
St. Anger is the eighth studio album by an American heavy metal band.,wiki,Anger,a Grammy Award,won
St. Anger is a work of music.,wiki,Metallica,the next couple of years,spent
St. Anger is a work of music.,wiki,Anger,a Grammy Award,won
St. Anger is a work of music.,response,who,Robert Trujillo,replaced
St. Anger is a work of music.,response,who,Jason Newsted,replaced
St. Anger is the eighth studio album by an American band.,wiki,Metallica,the next couple of years,spent
St. Anger is the eighth studio album by an American band.,wiki,Anger,a Grammy Award,won
St. Anger was released by a record label.,wiki,Metallica,the next couple of years,spent
St. Anger was released by a record label.,wiki,Anger,a Grammy Award,won
St. Anger was released by a record label.,response,I,AI,'m
Danger UXB is on a commercial TV network in Europe.,response,which,Europe,caused
Danger UXB is on a commercial TV network in Europe.,response,that,Danger UXB,acquired
Danger UXB is a British television series.,response,show,Anthony Andrews,starred
Danger UXB is a British television series.,response,who,Brian Ash,leads
Danger UXB is a British television series.,response,who,Stephen Yardley,leads
Danger UXB is a British television series.,response,who,Leyton,leads
Anushka Sharma is an actress.,wiki,which,a Filmfare Award for Best Actress,earned
Anushka Sharma is an actress.,response,Sharma,Band Baaja Baaraat,is
Anushka Sharma won a Filmfare Award for Best Supporting Actress.,wiki,which,a Filmfare Award for Best Actress,earned
Anushka Sharma won a Filmfare Award for Best Supporting Actress.,response,Sharma,a Filmfare Award,won
Anushka Sharma won a Filmfare Award for Best Supporting Actress.,response,Award,the Filmfare Award,won
Anushka Sharma won a Filmfare Award for Best Supporting Actress.,response,she,a Filmfare Award,won
Anushka Sharma won an award.,wiki,which,a Filmfare Award for Best Actress,earned
Anushka Sharma is a winner of a Filmfare Award.,wiki,which,a Filmfare Award for Best Actress,earned
Anushka Sharma is a winner of a Filmfare Award.,response,she,a Filmfare Award,won
Anushka Sharma is a winner of a Filmfare Award.,response,her,a Filmfare Award,winning
Anushka Sharma won a Filmfare Award.,wiki,which,a Filmfare Award for Best Actress,earned
Anushka Sharma won a Filmfare Award.,response,Sharma,a Filmfare Award,won
Anushka Sharma won a Filmfare Award.,response,Sharma,Band Baaja Baaraat,is
Anushka Sharma won a Filmfare Award.,response,her,a Filmfare Award,winning
Anushka Sharma starred in a film.,wiki,which,a Filmfare Award for Best Actress,earned
Anushka Sharma acts.,wiki,which,a Filmfare Award for Best Actress,earned
Anushka Sharma in Jab Tak Hai Jaan.,wiki,which,a Filmfare Award for Best Actress,earned
Awkward Black Girl features Issa Rae in a leading role.,response,Girl,Issa Rae,features
Awkward Black Girl features Issa Rae in a leading role.,response,statement,Issa Rae,features
Awkward Black Girl stars Issa Rae as Amber.,response,Girl,Issa Rae as Amber,stars
Awkward Black Girl stars Issa Rae as Amber.,response,Rae,Awkward Black Girl,created
Awkward Black Girl stars Issa Rae as Amber.,response,statement,Issa Rae as Amber,stars
Awkward Black Girl stars Issa Rae as Amber.,response,Girl,Issa Rae as Amber,stars
Awkward Black Girl stars Issa Rae as Amber.,response,statement,Issa Rae as Amber,stars
Awkward Black Girl is a series on the Internet.,response,she,The Misadventures of Awkward Black Girl,wrote
Awkward Black Girl is a series on the Internet.,response,she,The Mindy Project,co
Awkward Black Girl was created by Issa Rae.,response,her,Awkward Black Girl,creating
Awkward Black Girl was created by Issa Rae.,response,Rae,Awkward Black Girl,created
In 1997 and 1998 Oscar de la Hoya was The Ring magazine's top-rated fighter in the world.,wiki,Boy,the United States,represented
In 1997 and 1998 Oscar de la Hoya was The Ring magazine's top-rated fighter in the world.,wiki,He,approximately $ 700 million,generated
In 1997 and 1998 Oscar de la Hoya was The Ring magazine's top-rated fighter in the world.,wiki,Hoya,Golden Boy Promotions,founded
In 1997 and 1998 Oscar de la Hoya was The Ring magazine's top-rated fighter in the world.,wiki,He,American,is
In 1997 and 1998 Oscar de la Hoya was The Ring magazine's top-rated fighter in the world.,response,Hoya,WBC,won
In 1997 and 1998 Oscar de la Hoya was The Ring magazine's top-rated fighter in the world.,response,He,IBF,held
In 1995 Oscar de la Hoya was named Fighter of the Year.,wiki,Boy,the United States,represented
In 1995 Oscar de la Hoya was named Fighter of the Year.,wiki,He,approximately $ 700 million,generated
In 1995 Oscar de la Hoya was named Fighter of the Year.,wiki,Hoya,Golden Boy Promotions,founded
In 1995 Oscar de la Hoya was named Fighter of the Year.,wiki,He,American,is
In 1995 Oscar de la Hoya was named Fighter of the Year.,response,Hoya,a breakout year,had
Oscar de la Hoya was The Ring magazine's top-rated fighter in the world.,wiki,Boy,the United States,represented
Oscar de la Hoya was The Ring magazine's top-rated fighter in the world.,wiki,He,approximately $ 700 million,generated
Oscar de la Hoya was The Ring magazine's top-rated fighter in the world.,wiki,Hoya,Golden Boy Promotions,founded
Oscar de la Hoya was The Ring magazine's top-rated fighter in the world.,wiki,He,American,is
Oscar de la Hoya was The Ring magazine's top-rated fighter in the world twice.,wiki,Boy,the United States,represented
Oscar de la Hoya was The Ring magazine's top-rated fighter in the world twice.,wiki,He,approximately $ 700 million,generated
Oscar de la Hoya was The Ring magazine's top-rated fighter in the world twice.,wiki,Hoya,Golden Boy Promotions,founded
Oscar de la Hoya was The Ring magazine's top-rated fighter in the world twice.,wiki,He,American,is
